CMDLINE /home/jules/.pyenv/versions/3.12.11/bin/python3.12 run_pipeline.py
MEM 229.957031 1754559276.6916
MEM 229.957031 1754559276.7951
MEM 229.957031 1754559276.8988
MEM 229.957031 1754559277.0022
MEM 229.957031 1754559277.1057
MEM 229.957031 1754559277.2092
MEM 229.957031 1754559277.3127
MEM 229.957031 1754559277.4163
MEM 162.367188 1754559277.5194
MEM 162.367188 1754559277.6262
MEM 162.367188 1754559277.7295
MEM 162.367188 1754559277.8329
MEM 162.367188 1754559277.9361
MEM 162.617188 1754559278.0394
MEM 162.617188 1754559278.1425
MEM 162.617188 1754559278.2456
MEM 162.617188 1754559278.3490
MEM 162.617188 1754559278.4522
MEM 162.617188 1754559278.5553
MEM 162.617188 1754559278.6584
MEM 162.617188 1754559278.7615
MEM 162.617188 1754559278.8648
MEM 163.492188 1754559278.9682
MEM 164.367188 1754559279.0714
MEM 165.242188 1754559279.1747
MEM 165.992188 1754559279.2778
MEM 166.867188 1754559279.3811
MEM 167.742188 1754559279.4844
MEM 168.617188 1754559279.5875
MEM 169.492188 1754559279.6907
MEM 170.367188 1754559279.7939
MEM 171.242188 1754559279.8970
MEM 171.992188 1754559280.0001
MEM 172.867188 1754559280.1039
MEM 173.742188 1754559280.2070
MEM 174.617188 1754559280.3101
MEM 175.492188 1754559280.4134
MEM 176.242188 1754559280.5167
MEM 177.117188 1754559280.6200
MEM 177.992188 1754559280.7232
MEM 178.867188 1754559280.8265
MEM 179.742188 1754559280.9296
MEM 180.617188 1754559281.0329
MEM 181.367188 1754559281.1361
MEM 182.242188 1754559281.2394
MEM 183.117188 1754559281.3424
MEM 183.867188 1754559281.4455
MEM 184.742188 1754559281.5487
MEM 185.617188 1754559281.6522
MEM 186.492188 1754559281.7555
MEM 187.367188 1754559281.8587
MEM 188.117188 1754559281.9617
MEM 188.992188 1754559282.0649
MEM 189.867188 1754559282.1680
MEM 190.742188 1754559282.2712
MEM 191.617188 1754559282.3744
MEM 192.367188 1754559282.4776
MEM 193.242188 1754559282.5811
MEM 194.117188 1754559282.6848
MEM 194.992188 1754559282.7882
MEM 195.742188 1754559282.8916
MEM 196.617188 1754559282.9947
MEM 197.492188 1754559283.0977
MEM 198.367188 1754559283.2009
MEM 199.242188 1754559283.3042
MEM 200.117188 1754559283.4074
MEM 200.992188 1754559283.5108
MEM 201.742188 1754559283.6140
MEM 202.617188 1754559283.7171
MEM 203.492188 1754559283.8202
MEM 204.367188 1754559283.9234
MEM 205.242188 1754559284.0265
MEM 206.117188 1754559284.1295
MEM 206.867188 1754559284.2326
MEM 207.742188 1754559284.3357
MEM 208.617188 1754559284.4388
MEM 209.492188 1754559284.5418
MEM 210.367188 1754559284.6449
MEM 211.242188 1754559284.7480
MEM 212.117188 1754559284.8511
MEM 212.992188 1754559284.9542
MEM 213.367188 1754559285.0573
MEM 231.992188 1754559285.1635
MEM 240.242188 1754559285.2692
MEM 248.117188 1754559285.3758
MEM 256.117188 1754559285.4820
MEM 263.992188 1754559285.5881
MEM 271.867188 1754559285.6939
MEM 278.367188 1754559285.7973
MEM 285.242188 1754559285.9030
MEM 236.496094 1754559286.0061
MEM 286.121094 1754559286.1094
MEM 233.750000 1754559286.2125
MEM 286.125000 1754559286.3158
MEM 231.250000 1754559286.4190
MEM 286.125000 1754559286.5223
MEM 228.128906 1754559286.6254
MEM 286.128906 1754559286.7286
MEM 229.132812 1754559286.8318
MEM 286.132812 1754559286.9350
MEM 230.136719 1754559287.0381
MEM 285.136719 1754559287.1413
MEM 231.136719 1754559287.2445
MEM 282.761719 1754559287.3477
MEM 233.085938 1754559287.4509
MEM 260.585938 1754559287.5542
MEM 269.125000 1754559287.6574
MEM 250.125000 1754559287.7606
MEM 250.250000 1754559287.8678
MEM 250.625000 1754559287.9713
MEM 250.625000 1754559288.0744
MEM 250.625000 1754559288.1774
MEM 250.625000 1754559288.2805
MEM 250.625000 1754559288.3837
MEM 250.625000 1754559288.4867
MEM 250.625000 1754559288.5898
MEM 250.625000 1754559288.6930
MEM 250.625000 1754559288.7962
MEM 250.625000 1754559288.8994
MEM 250.625000 1754559289.0024
MEM 250.625000 1754559289.1054
MEM 250.625000 1754559289.2087
MEM 250.625000 1754559289.3118
MEM 250.625000 1754559289.4150
MEM 250.625000 1754559289.5181
MEM 250.625000 1754559289.6213
MEM 250.625000 1754559289.7244
MEM 250.625000 1754559289.8276
MEM 250.625000 1754559289.9308
MEM 250.625000 1754559290.0338
MEM 250.625000 1754559290.1370
MEM 250.625000 1754559290.2404
MEM 250.625000 1754559290.3438
MEM 250.625000 1754559290.4473
MEM 250.625000 1754559290.5507
MEM 250.625000 1754559290.6546
MEM 250.625000 1754559290.7578
MEM 250.625000 1754559290.8610
MEM 250.625000 1754559290.9647
MEM 250.625000 1754559291.0682
MEM 250.625000 1754559291.1716
MEM 250.625000 1754559291.2751
MEM 250.625000 1754559291.3785
MEM 250.625000 1754559291.4815
MEM 250.625000 1754559291.5847
MEM 250.625000 1754559291.6878
MEM 250.625000 1754559291.7911
MEM 250.625000 1754559291.8945
MEM 250.625000 1754559291.9981
MEM 250.625000 1754559292.1015
MEM 250.625000 1754559292.2049
MEM 250.625000 1754559292.3083
MEM 250.625000 1754559292.4118
MEM 250.625000 1754559292.5152
MEM 250.625000 1754559292.6199
MEM 250.625000 1754559292.7233
MEM 250.625000 1754559292.8268
MEM 250.625000 1754559292.9308
MEM 250.750000 1754559293.0344
MEM 250.750000 1754559293.1378
MEM 250.750000 1754559293.2412
MEM 250.750000 1754559293.3449
MEM 250.750000 1754559293.4483
MEM 250.750000 1754559293.5518
MEM 250.750000 1754559293.6549
